point,x,y,z
a9,140.00,68.00,158.20
b9,159.00,71.00,158.20
c9,178.00,73.00,158.20
d9,198.00,72.00,162.20
e9,218.00,73.00,162.20
f9,239.00,73.00,164.20
g9,257.00,74.00,166.20
h9,278.00,72.00,170.20
i9,297.00,73.00,174.20
a8,137.00,53.00,158.20
b8,157.00,56.00,159.20
c8,178.00,55.00,160.20
d8,195.00,54.00,160.20
e8,216.00,54.00,161.20
f8,236.00,54.00,165.20
g8,256.00,54.00,167.20
h8,276.00,53.00,169.20
i8,293.00,53.00,173.20
a7,134.00,37.00,158.20
b7,154.00,38.00,160.20
c7,175.00,38.00,160.20
d7,195.00,38.00,161.20
e7,216.00,39.00,163.20
f7,235.00,39.00,165.20
g7,254.00,39.00,167.20
h7,276.00,37.00,169.20
i7,291.00,40.00,172.20
a6,134.00,22.00,158.20
b6,153.00,22.00,159.20
c6,174.00,22.00,160.20
d6,193.00,22.00,161.20
e6,212.00,22.00,163.20
f6,234.00,21.00,164.20
g6,253.00,20.00,166.20
h6,274.00,20.00,168.20
i6,291.00,20.00,171.20
a5,131.00,6.00,157.20
b5,152.00,6.00,157.20
c5,172.00,5.00,159.20
d5,194.00,5.00,159.20
e5,212.00,5.00,159.20
f5,234.00,5.00,163.20
g5,253.00,5.00,165.20
h5,292.00,3.00,170.20
i5,131.00,-10.00,158.20
a4,150.00,-10.00,158.20
b4,172.00,-10.00,157.20
c4,191.00,-10.00,158.20
d4,212.00,-11.00,160.20
e4,233.00,-12.00,162.20
f4,253.00,-11.00,164.20
g4,272.00,-16.00,166.20
h4,290.00,-16.00,169.20
i4,292.00,-16.00,169.20
a3,130.00,-24.00,158.20
b3,152.00,-24.00,157.20
c3,172.00,-25.00,158.20
d3,191.00,-25.00,158.20
e3,211.00,-29.00,160.20
f3,232.00,-29.00,162.20
g3,251.00,-31.00,164.20
h3,271.00,-32.00,166.20
i3,290.00,-32.00,169.20
a2,132.00,-40.00,157.20
b2,151.00,-40.00,157.20
c2,171.00,-43.00,158.20
d2,191.00,-44.00,159.20
e2,211.00,-44.00,161.20
f2,233.00,-46.00,162.20
g2,252.00,-50.00,163.20
h2,271.00,-48.00,166.20
i2,290.00,-48.00,169.20
a1,132.00,-56.00,157.20
b1,152.00,-57.00,157.20
c1,172.00,-60.00,159.20
d1,191.00,-61.00,160.20
e1,211.00,-63.00,161.20
f1,232.00,-63.00,162.20
g1,252.00,-63.00,164.20
h1,270.00,-67.00,167.20
i1,291.00,-66.00,170.20
a0,135.00,-71.00,158.20
b0,153.00,-73.00,158.20
c0,174.00,-77.00,159.20
d0,192.00,-79.00,159.20
e0,211.00,-79.00,161.20
f0,232.00,-83.00,163.20
g0,251.00,-83.00,164.20
h0,269.00,-83.00,167.20
i0,289.00,-84.00,171.20
o0,49.1,-197.7,137.4
