point,x,y,z
a9,175,120,164
b9,199,117,164
c9,222,115,163
d9,245,113,163
e9,269,111,163
f9,292,109,163
g9,315,108,163
h9,338,107,163
i9,360,105,163
a8,177,94,166
b8,200,92,166
c8,223,89,165
d8,246,87,164
e8,269,85,164
f8,292,84,164
g8,315,83,163
h8,338,81,162
i8,361,80,162
a7,179,69,167
b7,201,66,167
c7,224,63,166
d7,246,61,165
e7,269,60,165
f7,292,58,164
g7,315,57,163
h7,338,56,163
i7,360,55,164
a6,181,41,168
b6,202,38,167
c6,223,36,166
d6,246,35,165
e6,269,33,165
f6,292,32,164
g6,314,31,165
h6,337,30,164
i6,360,29,163
a5,182,12,168
b5,202,11,167
c5,223,9,166
d5,245,8,165
e5,268,7,165
f5,291,6,165
g5,314,5,165
h5,336,5,165
i5,359,6,164
a4,181,-17,168
b4,200,-17,168
c4,222,-18,167
d4,244,-18,166
e4,267,-19,166
f4,290,-19,165
g4,312,-20,165
h4,335,-20,164
i4,358,-19,163
a3,178,-47,167
b3,198,-45,168
c3,220,-45,167
d3,242,-45,166
e3,265,-45,165
f3,288,-45,165
g3,311,-47,165
h3,334,-46,164
i3,357,-46,163
a2,174,-74,168
b2,196,-73,168
c2,219,-71,167
d2,241,-71,166
e2,264,-71,166
f2,287,-71,166
g2,310,-71,165
h2,333,-71,165
i2,356,-71,164
a1,170,-101,169
b1,193,-99,168
c1,216,-98,167
d1,239,-98,167
e1,266,-97,166
f1,287,-97,165
g1,310,-97,164
h1,333,-97,163
i1,356,-97,163
a0,167,-127,168
b0,191,-126,166
c0,214,-125,165
d0,238,-124,165
e0,261,-124,164
f0,285,-124,164
g0,308,-123,163
h0,331,-123,163
i0,354,-123,162
o0,11,255,93.2
