point,x,y,z
a9,171,124,175
b9,195,121,175
c9,218,119,174
d9,241,118,174
e9,265,115,173
f9,288,116,173
g9,312,114,172
h9,335,114,171
i9,358,113,171
a8,174,98,176
b8,197,95,176
c8,219,93,174
d8,242,92,174
e8,265,91,174
f8,289,90,173
g8,312,90,172
h8,335,88,172
i8,358,87,171
a7,179,72,178
b7,199,70,176
c7,220,68,176
d7,243,67,175
e7,266,65,175
f7,289,65,174
g7,312,64,173
h7,336,63,173
i7,359,62,171
a6,181,44,178
b6,201,42,178
c6,221,41,176
d6,244,40,176
e6,266,40,175
f6,289,39,175
g6,312,39,174
h6,335,38,173
i6,359,38,173
a5,183,15,179
b5,201,15,178
c5,222,15,177
d5,244,14,176
e5,267,12,175
f5,289,11,174
g5,313,11,173
h5,336,11,172
i5,359,10,172
a4,183,-15,180
b4,201,-14,178
c4,222,-13,177
d4,244,-13,176
e4,266,-12,175
f4,289,-12,174
g4,312,-13,173
h4,335,-13,172
i4,358,-15,171
a3,181,-42,180
b3,200,-40,178
c3,221,-40,177
d3,243,-39,176
e3,266,-38,175
f3,289,-38,174
g3,312,-40,173
h3,335,-40,172
i3,358,-38,172
a2,177,-70,179
b2,198,-67,178
c2,220,-65,177
d2,242,-64,176
e2,265,-63,175
f2,288,-62,174
g2,311,-63,173
h2,334,-63,173
i2,358,-62,172
a1,173,-97,178
b1,195,-94,177
c1,218,-92,176
d1,241,-90,175
e1,264,-90,174
f1,287,-89,174
g1,310,-89,173
h1,333,-89,172
i1,357,-88,171
a0,169,-123,178
b0,192,-121,177
c0,215,-118,176
d0,239,-118,175
e0,262,-117,174
f0,285,-116,173
g0,309,-116,172
h0,332,-114,171
i0,357,-114,171
o0,11,255,107.2
