point,x,y,z
a9,289,-122,156
b9,266,-122,157
c9,243,-122,157
d9,220,-123,158
e9,196,-123,158
f9,174,-123,159
g9,150,-125,159
h9,128,-125,161
i9,103,-129,162
a8,291,-94,155
b8,267,-96,155
c8,245,-96,156
d8,222,-96,156
e8,198,-96,157
f8,175,-97,158
g8,152,-98,159
h8,130,-99,160
i8,107,-102,161
a7,292,-70,155
b7,269,-71,156
c7,246,-71,156
d7,223,-71,157
e7,200,-71,158
f7,177,-71,159
g7,155,-72,160
h7,133,-73,161
i7,111,-76,162
a6,293,-43,155
b6,270,-44,156
c6,247,-45,156
d6,224,-45,157
e6,201,-45,158
f6,178,-45,159
g6,156,-45,160
h6,135,-46,161
i6,115,-47,163
a5,294,-19,155
b5,270,-19,155
c5,248,-19,156
d5,225,-18,157
e5,202,-18,158
f5,179,-18,159
g5,157,-18,160
h5,136,-18,161
i5,117,-19,162
a4,294,6,155
b4,271,6,155
c4,248,7,156
d4,225,7,157
e4,202,7,158
f4,180,8,159
g4,158,9,160
h4,137,9,161
i4,118,10,162
a3,295,32,156
b3,272,32,156
c3,249,33,157
d3,226,33,158
e3,203,34,158
f3,180,35,160
g3,158,36,160
h3,137,36,161
i3,117,39,162
a2,295,56,156
b2,130,57,150
c2,249,58,157
d2,226,59,157
e2,203,60,158
f2,180,61,159
g2,158,62,160
h2,136,64,161
i2,115,67,162
a1,296,82,155
b1,272,82,156
c1,250,82,157
d1,227,84,157
e1,203,85,158
f1,180,87,159
g1,158,88,159
h1,135,90,160
i1,113,93,161
a0,295,107,156
b0,272,108,156
c0,249,109,156
d0,226,110,157
e0,203,112,158
f0,179,114,159
g0,156,116,159
h0,133,118,160
i0,110,121,160
o0,49.1,-197.7,137.4
g3,158,36,170
