point,x,y,z
a9,359,-122,166
b9,336,-122,167
c9,313,-122,167
d9,290,-123,168
e9,266,-123,168
f9,244,-123,169
g9,220,-125,169
h9,198,-125,171
i9,173,-129,172
a8,361,-94,165
b8,337,-96,165
c8,315,-96,166
d8,292,-96,166
e8,268,-96,167
f8,245,-97,168
g8,222,-98,169
h8,200,-99,170
i8,177,-102,171
a7,362,-70,165
b7,339,-71,166
c7,316,-71,166
d7,293,-71,167
e7,270,-71,168
f7,247,-71,169
g7,225,-72,170
h7,203,-73,171
i7,181,-76,172
a6,363,-43,165
b6,340,-44,166
c6,317,-45,166
d6,294,-45,167
e6,271,-45,168
f6,248,-45,169
g6,226,-45,170
h6,205,-46,171
i6,185,-47,173
a5,364,-19,165
b5,340,-19,165
c5,318,-19,166
d5,295,-18,167
e5,272,-18,168
f5,249,-18,169
g5,227,-18,170
h5,206,-18,171
i5,187,-19,172
a4,364,6,165
b4,341,6,165
c4,318,7,166
d4,295,7,167
e4,272,7,168
f4,250,8,169
g4,228,9,170
h4,207,9,171
i4,188,10,172
a3,365,32,166
b3,342,32,166
c3,319,33,167
d3,296,33,168
e3,273,34,168
f3,250,35,170
g3,228,36,170
h3,207,36,171
i3,187,39,172
a2,365,56,166
b2,342,57,166
c2,319,58,167
d2,296,59,167
e2,273,60,168
f2,250,61,169
g2,228,62,170
h2,206,64,171
i2,185,67,172
a1,243,82,165
b1,342,82,166
c1,320,82,167
d1,297,84,167
e1,273,85,168
f1,250,87,169
g1,228,88,169
h1,205,90,170
i1,183,93,171
a0,365,107,166
b0,342,108,166
c0,319,109,166
d0,296,110,167
e0,273,112,168
f0,249,114,169
g0,226,116,169
h0,203,118,170
i0,180,121,170
o0,11,255,102.2
