point,x,y,z
a9,122.0,82.0,171.2
b9,144.0,83.0,170.2
c9,166.0,85.0,170.2
d9,189.0,84.0,169.2
e9,211.0,88.0,168.2
f9,234.0,89.0,168.2
g9,258.0,89.0,168.2
h9,280.0,90.0,166.2
i9,303.0,92.0,166.2
a8,121.0,61.0,170.2
b8,142.0,63.0,170.2
c8,164.0,65.0,170.2
d8,187.0,64.0,169.2
e8,210.0,66.0,168.2
f8,233.0,69.0,167.2
g8,257.0,67.0,167.2
h8,280.0,69.0,166.2
i8,303.0,68.0,166.2
a7,120.0,43.0,172.2
b7,141.0,43.0,170.2
c7,163.0,45.0,170.2
d7,186.0,46.0,170.2
e7,209.0,45.0,169.2
f7,232.0,48.0,169.2
g7,256.0,46.0,167.2
h7,279.0,48.0,166.2
i7,302.0,50.0,166.2
a6,120.0,23.5,170.8
b6,139.2,24.9,170.8
c6,161.2,25.2,170.8
d6,184.5,25.4,169.2
e6,207.7,25.5,169.1
f6,230.5,25.5,167.3
g6,255.7,25.5,167.3
h6,277.5,25.6,167.3
i6,301.4,27.6,164.3
a5,118.0,6.0,170.2
b5,139.0,6.0,170.2
c5,161.0,6.0,170.2
d5,184.0,7.0,168.2
e5,208.0,7.0,168.2
f5,231.0,7.0,168.2
g5,255.0,8.0,167.2
h5,278.0,8.0,167.2
i5,301.0,5.0,165.2
a4,118.0,-13.0,170.2
b4,140.0,-13.0,169.2
c4,161.0,-15.0,169.2
d4,184.0,-14.0,169.2
e4,207.0,-15.0,169.2
f4,230.0,-14.0,167.2
g4,254.0,-14.0,166.2
h4,277.0,-16.0,165.2
i4,301.0,-14.0,165.2
a3,119.0,-32.0,170.2
b3,139.0,-31.0,169.2
c3,161.0,-32.0,168.2
d3,184.0,-32.0,168.2
e3,207.0,-35.0,168.2
f3,231.0,-34.0,167.2
g3,254.0,-36.0,167.2
h3,278.0,-35.0,166.2
i3,301.0,-35.0,165.2
a2,118.0,-49.0,170.2
b2,140.0,-50.0,169.2
c2,162.0,-52.0,169.2
d2,185.0,-52.0,168.2
e2,208.0,-55.0,167.2
f2,231.0,-54.0,167.2
g2,255.0,-54.0,166.2
h2,278.0,-54.0,166.2
i2,301.0,-57.0,165.2
a1,119.0,-69.0,169.2
b1,141.0,-70.0,168.2
c1,163.0,-72.0,168.2
d1,186.0,-72.0,168.2
e1,209.0,-73.0,168.2
f1,232.0,-74.0,167.2
g1,255.0,-75.0,167.2
h1,277.0,-78.0,166.2
i1,300.0,-79.0,166.2
a0,120.0,-89.0,169.2
b0,142.0,-91.0,168.2
c0,165.0,-91.0,168.2
d0,187.0,-93.0,168.2
e0,210.0,-94.0,168.2
f0,232.0,-97.0,167.2
g0,256.0,-96.0,166.2
h0,279.0,-97.0,166.2
i0,301.0,-100.0,165.2
o0,11.0,255.0,93.2
